Risposta,Nome,Q01_Movie Rating->1. Oppenheimer (2023),Q01_Movie Rating->2. Barbie (2023),Q01_Movie Rating->3. Poor Things (2023),Q01_Movie Rating->4. The shape of water (2017),Q01_Movie Rating->5. Frozen (2013),Q01_Movie Rating->6. Caesar must die (2012),Q01_Movie Rating->7. The Hangover (2009),Q01_Movie Rating->8. No Country for old men (2007),Q01_Movie Rating->9. Gladiator (2000),Q01_Movie Rating->10. Groundhog Day (1993)
13586,Anonimo1,3,1,2,-1,5,-1,5,-1,2,-1
13423,Anonimo2,4,-1,-1,-1,2,-1,-1,-1,-1,-1
13429,Anonimo3,4,5,4,5,5,-1,4,5,4,-1
13428,Anonimo4,4,2,-1,-1,4,-1,3,-1,4,-1
13420,Anonimo5,5,1,-1,3,3,3,5,2,3,-1
13434,Anonimo6,3,-1,4,-1,-1,-1,3,5,4,-1
13431,Anonimo7,4,3,2,-1,3,-1,5,4,4,-1
13430,Anonimo8,5,2,5,4,3,-1,-1,-1,-1,-1
13413,Anonimo9,3,-1,-1,-1,-1,-1,3,4,5,3
13432,Anonimo10,5,1,-1,-1,5,-1,4,-1,5,-1
13419,Anonimo11,5,-1,-1,4,2,-1,-1,-1,5,-1
13427,Anonimo12,4,3,4,-1,4,-1,-1,-1,3,-1
13502,Anonimo13,-1,-1,3,-1,-1,-1,4,-1,-1,-1
13424,Anonimo14,-1,4,4,5,2,-1,4,5,5,-1
13438,Anonimo15,4,1,3,4,3,-1,3,5,-1,3
13439,Anonimo16,5,1,4,4,1,-1,1,5,2,4
13436,Anonimo17,-1,3,5,-1,3,-1,-1,-1,-1,-1
13426,Anonimo18,5,-1,-1,3,1,-1,3,5,4,-1
13422,Anonimo19,5,3,-1,5,1,-1,4,5,3,4
13418,Anonimo20,5,-1,-1,-1,-1,-1,4,5,5,-1
13435,Anonimo21,5,4,-1,-1,3,-1,4,-1,-1,-1
13425,Anonimo22,4,-1,-1,-1,5,-1,-1,-1,3,4
13433,Anonimo23,4,-1,-1,4,2,-1,-1,-1,4,-1
13437,Anonimo24,4,2,4,-1,-1,-1,4,5,2,-1
13421,Anonimo25,4,4,-1,-1,3,-1,-1,-1,5,-1
13555,Anonimo26,5,4,5,4,1,5,-1,5,5,-1
13417,Anonimo27,5,3,4,-1,3,-1,-1,-1,5,-1
